Title:,Trace 1
Model:,N9320B
Serial Number:,CN0323C271
Center Frequency:,700000000.000000,Hz
Span:,1000000000.000000,Hz
Resolution Bandwidth:,1000000.000000,Hz
Video Bandwidth:,1000000.000000,Hz
Reference Level:,-6.000000,dBm
Sweep Time:,0.036078,s
Num Points:,461
Window Limit:,OFF
Units,Hz,dBm
No.,Frequency(Hz),Amplitude(dBm)
1,200000000.000000,-2.066413498e+01
2,202173913.043478,-2.168124390e+01
3,204347826.086957,-2.258461380e+01
4,206521739.130435,-2.345335388e+01
5,208695652.173913,-2.429494095e+01
6,210869565.217391,-2.504440308e+01
7,213043478.260870,-2.572080994e+01
8,215217391.304348,-2.634104538e+01
9,217391304.347826,-2.661415482e+01
10,219565217.391304,-2.677915573e+01
11,221739130.434783,-2.683991623e+01
12,223913043.478261,-2.677387238e+01
13,226086956.521739,-2.654547501e+01
14,228260869.565217,-2.632934570e+01
15,230434782.608696,-2.610487366e+01
16,232608695.652174,-2.601146317e+01
17,234782608.695652,-2.595453262e+01
18,236956521.739130,-2.593511963e+01
19,239130434.782609,-2.610418701e+01
20,241304347.826087,-2.633910370e+01
21,243478260.869565,-2.695209503e+01
22,245652173.913043,-2.759208298e+01
23,247826086.956522,-2.826853561e+01
24,250000000.000000,-2.930034256e+01
25,252173913.043478,-3.010602188e+01
26,254347826.086957,-3.059961700e+01
27,256521739.130435,-3.089981842e+01
28,258695652.173913,-3.099222565e+01
29,260869565.217391,-3.081278229e+01
30,263043478.260870,-3.052017975e+01
31,265217391.304348,-3.023061371e+01
32,267391304.347826,-2.980112839e+01
33,269565217.391304,-2.930789566e+01
34,271739130.434783,-2.878812408e+01
35,273913043.478261,-2.806987762e+01
36,276086956.521739,-2.744485474e+01
37,278260869.565217,-2.644325256e+01
38,280434782.608696,-2.522999573e+01
39,282608695.652174,-2.387853622e+01
40,284782608.695652,-2.245183945e+01
41,286956521.739130,-2.078801346e+01
42,289130434.782609,-1.902143860e+01
43,291304347.826087,-1.733790398e+01
44,293478260.869565,-1.578787041e+01
45,295652173.913043,-1.436772919e+01
46,297826086.956522,-1.311151505e+01
47,300000000.000000,-1.219913673e+01
48,302173913.043478,-1.169668007e+01
49,304347826.086957,-1.154944038e+01
50,306521739.130435,-1.154588318e+01
51,308695652.173913,-1.159031677e+01
52,310869565.217391,-1.173238754e+01
53,313043478.260870,-1.153616524e+01
54,315217391.304348,-1.093321419e+01
55,317391304.347826,-1.007481003e+01
56,319565217.391304,-9.225389481e+00
57,321739130.434783,-8.687290192e+00
58,323913043.478261,-8.607198715e+00
59,326086956.521739,-8.751842499e+00
60,328260869.565217,-9.511306763e+00
61,330434782.608696,-1.099385643e+01
62,332608695.652174,-1.305298996e+01
63,334782608.695652,-1.547439003e+01
64,336956521.739130,-1.796959305e+01
65,339130434.782609,-2.023051071e+01
66,341304347.826087,-2.209646988e+01
67,343478260.869565,-2.331613922e+01
68,345652173.913043,-2.391510391e+01
69,347826086.956522,-2.409223175e+01
70,350000000.000000,-2.400466919e+01
71,352173913.043478,-2.389837646e+01
72,354347826.086957,-2.383723450e+01
73,356521739.130435,-2.385670853e+01
74,358695652.173913,-2.387731934e+01
75,360869565.217391,-2.399873352e+01
76,363043478.260870,-2.414578247e+01
77,365217391.304348,-2.432663345e+01
78,367391304.347826,-2.441072083e+01
79,369565217.391304,-2.443003845e+01
80,371739130.434783,-2.452451324e+01
81,373913043.478261,-2.462230301e+01
82,376086956.521739,-2.485665894e+01
83,378260869.565217,-2.523417282e+01
84,380434782.608696,-2.573717880e+01
